code,description
1089501000000102,Presenile dementia with psychosis (disorder)
1089521000000106,Predominantly cortical dementia (disorder)
109478007,Kohlschutter's syndrome (disorder)
1163119007,Creutzfeldt Jakob disease following graft of dura (disorder)
1186877003,Dementia due to vitamin E deficiency (disorder)
1186879000,Dementia due to thiamine deficiency (disorder)
1186880002,Dementia due to cobalamin deficiency (disorder)
1259465009,Dementia due to hepatic failure (disorder)
1259467001,Dementia due to hypercalcemia (disorder)
1259476008,Dementia due to genetic disease (disorder)
1259494002,Dementia due to leukodystrophy (disorder)
1259511006,Dementia due to Wilson disease (disorder)
1259517005,Dementia due to systemic lupus erythematosus (disorder)
1259519008,Dementia due to subacute sclerosing panencephalitis (disorder)
1259579003,Dementia due to Behcet syndrome (disorder)
1259591007,Dementia due to acquired hypothyroidism (disorder)
1259656006,Dementia due to renal failure (disorder)
1259665004,Dementia due to progressive subcortical gliosis (disorder)
1259667007,Dementia due to paraneoplastic encephalitis (disorder)
1259673008,Dementia due to neurofilament inclusion body disease (disorder)
1259675001,Dementia due to obstructive hydrocephalus (disorder)
1259990004,Dementia due to classical pantothenate kinase associated neurodegeneration (disorder)
12741002,AIDS with dementia (disorder)
138736007,H/O: dementia (situation)
154845000,Dementia (& [presenile] or [senile]) (disorder)
15662003,Senile dementia (disorder)
191450005,Presenile dementia (disorder)
191454001,Presenile dementia with paranoia (disorder)
191455000,Presenile dementia with depression (disorder)
191456004,Presenile dementia NOS (disorder)
191458003,Senile dementia with paranoia (disorder)
191460001,Senile dementia with depressive or paranoid features NOS (disorder)
191461002,Senile dementia with delirium (disorder)
191474008,Alcoholic dementia: [other] or [NOS] (disorder)
191493005,Dementia caused by drug (disorder)
191519005,Dementia associated with another disease (disorder)
192167008,[X]Dementia: [multi-infarct] or [predominantly cortical] (disorder)
192180006,[X] Dementia: [unspecif] or [presenile NOS (including presenile psychosis NOS)] or [primary degenerative NOS] or [senile NOS (including senile psychosis NOS)] or [senile depressed or paranoid type] (disorder)
20484008,Prion disease (disorder)
22381000119105,Primary degenerative dementia (disorder)
230282000,Post-traumatic dementia (disorder)
230288001,Semantic dementia (disorder)
230290000,Epileptic dementia (disorder)
2421000119107,Hallucinations co-occurrent and due to late onset dementia (disorder)
266134000,Tabes dorsalis (disorder)
268744003,Dementia (& [presenile] or [senile]) (disorder)
32875003,Inhalant-induced persisting dementia (disorder)
371024007,Senile dementia with delusion (disorder)
371026009,Senile dementia with psychosis (disorder)
397791000000109,[X]Dementia in other specified diseases classified elsewhere (disorder)
402771000000101,[X]Delirium superimposed on dementia (disorder)
413681000000103,[X] Dementia: [unspecif] or [presenile NOS (including presenile psychosis NOS)] or [primary degenerative NOS] or [senile NOS (including senile psychosis NOS)] or [senile depressed or paranoid type] (disorder)
464291000000103,[X]Dementia in other diseases classified elsewhere (disorder)
51928006,General paresis - neurosyphilis (disorder)
52448006,Dementia (disorder)
544871000000102,Other alcoholic dementia (disorder)
613591000000100,Presenile dementia NOS (disorder)
62102009,AIDS with presenile dementia (disorder)
62239001,Parkinson-dementia complex of Guam (disorder)
671511000000100,Alcoholic dementia NOS (disorder)
698625002,Dementia associated with normal pressure hydrocephalus (disorder)
698726009,Dementia associated with viral encephalitis (disorder)
698781002,Dementia associated with cerebral anoxia (disorder)
700911000000100,Other senile/presenile dementia (disorder)
713488003,Presenile dementia co-occurrent with human immunodeficiency virus infection (disorder)
715737004,Parkinsonism co-occurrent with dementia of Guadeloupe (disorder)
716281000,Primary progressive non fluent aphasia (disorder)
722978000,Toxic dementia (disorder)
722979008,Dementia due to metabolic abnormality (disorder)
722980006,Dementia due to chromosomal anomaly (disorder)
723390000,Rapidly progressive dementia (disorder)
724776007,Dementia due to disorder of central nervous system (disorder)
724777003,Dementia due to infectious disease (disorder)
724992007,Epilepsy co-occurrent and due to dementia (disorder)
733184002,Dementia caused by heavy metal exposure (disorder)
733185001,Dementia following injury caused by exposure to ionizing radiation (disorder)
733191004,Dementia due to chronic subdural hematoma (disorder)
733193001,Dementia co-occurrent and due to progressive multifocal leukoencephalopathy (disorder)
733194007,Dementia co-occurrent and due to Down syndrome (disorder)
762351006,Dementia due to and following injury of head (disorder)
762707000,Subcortical dementia (disorder)
774069007,Protein kinase cAMP-dependent type I regulatory subunit beta-related neurodegenerative dementia with intermediate filaments (disorder)
783258000,Familial dementia Danish type (disorder)
788861009,Aggression due to dementia (finding)
788899002,Dementia due to pellagra (disorder)
789170003,Disinhibited behavior due to dementia (disorder)
79341000119107,Mixed dementia (disorder)
82361000119107,Altered behavior in dementia due to Huntington chorea (disorder)
840464007,Dementia due to carbon monoxide poisoning (disorder)
840465008,Dementia due to iron deficiency (disorder)
88339003,Dementia arising in the senium AND/OR presenium (disorder)
90194001,AIDS with organic dementia (disorder)
1089581000000107,Predominantly cortical dementia (disorder)
111480006,Psychoactive substance-induced organic dementia (disorder)
1148924004,Dementia due to deficiency of folic acid (disorder)
1186881003,Dementia due to niacin deficiency (disorder)
1186883000,Dementia due to nutritional deficiency disorder (disorder)
1186887004,Dementia caused by manganese and/or manganese compound (disorder)
1187004001,Chronic traumatic encephalopathy (disorder)
12348006,Presenile dementia (disorder)
1259469003,Dementia due to Gerstmann Straussler Scheinker syndrome (disorder)
1259471003,Dementia due to Hashimoto encephalopathy (disorder)
1259473000,Dementia due to fragile X syndrome (disorder)
1259480003,Dementia due to fatal familial insomnia (disorder)
1259492003,Dementia due to metastatic malignant neoplasm to brain (disorder)
1259496000,Dementia due to Lyme disease (disorder)
1259501004,Dementia due to kuru (disorder)
1259513009,Dementia due to Whipple disease (disorder)
1259524006,Dementia due to trypanosomiasis (disorder)
1259531005,Dementia due to hypertensive encephalopathy (disorder)
1259581001,Dementia due to celiac disease (disorder)
1259584009,Dementia due to and following dialysis (disorder)
1259586006,Dementia due to autoimmune encephalitis (disorder)
1259661008,Dementia due to inflammatory disorder of musculoskeletal system (disorder)
1259677009,Dementia due to multiple system atrophy (disorder)
1259679007,Dementia due to atypical pantothenate kinase associated neurodegeneration (disorder)
1260328002,Familial multiple system deposition of tau protein (disorder)
130121000119104,Dementia due to Rett syndrome (disorder)
154846004,Uncomplicated senile dementia (disorder)
154847008,Presenile dementia (disorder)
154848003,Senile dementia with depressive or paranoid features (disorder)
154849006,Senile dementia with delirium (disorder)
154851005,Other senile/presenile dementia (disorder)
1591000119103,Dementia with behavioral disturbance (disorder)
161465002,History of dementia (situation)
191449005,Uncomplicated senile dementia (disorder)
191451009,Uncomplicated presenile dementia (disorder)
191452002,Presenile dementia with delirium (disorder)
191457008,Senile dementia with depressive or paranoid features (disorder)
191459006,Senile dementia with depression (disorder)
192173009,[X]Dementia in other diseases classified elsewhere (disorder)
192176001,[X]Dementia in Huntington's disease (disorder)
192178000,Acquired immune deficiency syndrome dementia complex (disorder)
192179008,[X]Dementia in other specified diseases classif elsewhere (disorder)
192184002,[X]Delirium superimposed on dementia (disorder)
229672009,Language disorder of dementia (disorder)
230281007,Argyrophilic grain disease (disorder)
230283005,Punch drunk syndrome (disorder)
230284004,Spongiform encephalopathy (disorder)
230289009,Patchy dementia (disorder)
231463001,Alcoholic dementia NOS (disorder)
268615009,Other alcoholic dementia (disorder)
268675002,[X]Unspecified dementia (disorder)
278857002,Dementia of frontal lobe type (disorder)
279982005,Cerebral degeneration presenting primarily with dementia (disorder)
281004,Dementia associated with alcoholism (disorder)
286932008,Other senile/presenile dementia (disorder)
31081000119101,Presenile dementia with delusions (disorder)
390000004,Binswanger's disease (disorder)
414361000000104,[X]Dementia in Huntington's disease (disorder)
420614009,Organic dementia with acquired immunodeficiency syndrome (disorder)
421023003,Presenile dementia with acquired immunodeficiency syndrome (disorder)
421529006,Dementia with acquired immunodeficiency syndrome (disorder)
442344002,Dementia due to Huntington chorea (disorder)
471341000000106,[X]Unspecified dementia (disorder)
59651006,"Sedative, hypnotic AND/OR anxiolytic-induced persisting dementia (disorder)"
613601000000106,Senile dementia with depressive or paranoid features NOS (disorder)
698624003,Dementia associated with cerebral lipidosis (disorder)
698626001,Dementia associated with multiple sclerosis (disorder)
698687007,Post-traumatic dementia with behavioral change (disorder)
698725008,Dementia associated with neurosyphilis (disorder)
698949001,Dementia in remission (disorder)
702421006,Familial encephalopathy with neuroserpin inclusion bodies (disorder)
713844000,Dementia co-occurrent with human immunodeficiency virus infection (disorder)
721219005,Familial Alzheimer-like prion disease (disorder)
721255002,Acquired prion disease (disorder)
722977005,Dementia co-occurrent and due to neurocysticercosis (disorder)
725898002,Delirium co-occurrent with dementia (disorder)
733190003,Dementia due to primary malignant neoplasm of brain (disorder)
733192006,Dementia due to herpes encephalitis (disorder)
762350007,Dementia due to prion disease (disorder)
783161005,Familial dementia British type (disorder)
788862002,Agitation due to dementia (finding)
