code,description
1260352009,Frontotemporal dementia due to TARDBP mutation (disorder)
230270009,Frontotemporal dementia (disorder)
702393003,Frontotemporal dementia with gene located on 3p11 (disorder)
1260353004,Frontotemporal dementia due to VCP mutation (disorder)
1260354005,Frontotemporal dementia due to C9orf72 mutation (disorder)
1260355006,Frontotemporal dementia due to FUS mutation (disorder)
702429008,Frontotemporal dementia with parkinsonism-17 (disorder)
702426001,GRN-related frontotemporal dementia (disorder)
703544004,Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia (disorder)
716667005,Right temporal atrophy variant frontotemporal dementia (disorder)
1259124000,Amyotrophic lateral sclerosis with frontotemporal dementia (disorder)
716994006,Behavioral variant of frontotemporal dementia (disorder)
13092008,Pick's disease (disorder)
192174003,[X]Dementia in Pick's disease (disorder)
21921000119103,Dementia co-occurrent and due to Pick's disease (disorder)
230271008,Pick's disease with Pick bodies (disorder)
230272001,Pick's disease with Pick cells and no Pick bodies (disorder)
455381000000102,[X]Dementia in Pick's disease (disorder)
82351000119105,Altered behavior due to Pick's disease (disorder)
