code,description
101421000119107,Dementia due to Parkinson's disease (disorder)
106021000119105,Multi-infarct dementia due to atherosclerosis (disorder)
1089501000000102,Presenile dementia with psychosis (disorder)
1089521000000106,Predominantly cortical dementia (disorder)
109478007,Kohlschutter's syndrome (disorder)
1156789004,Autosomal dominant Alzheimer disease due to mutation of amyloid precursor protein (disorder)
1156800008,Autosomal dominant Alzheimer disease due to mutation of presenilin 1 (disorder)
1163119007,Creutzfeldt Jakob disease following graft of dura (disorder)
1186877003,Dementia due to vitamin E deficiency (disorder)
1186879000,Dementia due to thiamine deficiency (disorder)
1186880002,Dementia due to cobalamin deficiency (disorder)
1259121008,"Amyotrophic lateral sclerosis, parkinsonism, dementia complex of West New Guinea (disorder)"
1259123006,"Amyotrophic lateral sclerosis, parkinsonism, dementia complex of Kii Peninsula (disorder)"
1259128002,Alzheimer disease with psychosis (disorder)
1259465009,Dementia due to hepatic failure (disorder)
1259467001,Dementia due to hypercalcemia (disorder)
1259476008,Dementia due to genetic disease (disorder)
1259478009,Dementia due to familial Creutzfeldt-Jakob disease (disorder)
1259485008,Dementia due to cerebral vasculitis (disorder)
1259494002,Dementia due to leukodystrophy (disorder)
1259503001,Dementia due to iatrogenic Creutzfeldt-Jakob disease (disorder)
1259511006,Dementia due to Wilson disease (disorder)
1259517005,Dementia due to systemic lupus erythematosus (disorder)
1259519008,Dementia due to subacute sclerosing panencephalitis (disorder)
1259529001,Dementia due to sporadic Creutzfeldt-Jakob disease (disorder)
1259579003,Dementia due to Behcet syndrome (disorder)
1259591007,Dementia due to acquired hypothyroidism (disorder)
1259656006,Dementia due to renal failure (disorder)
1259665004,Dementia due to progressive subcortical gliosis (disorder)
1259667007,Dementia due to paraneoplastic encephalitis (disorder)
1259673008,Dementia due to neurofilament inclusion body disease (disorder)
1259675001,Dementia due to obstructive hydrocephalus (disorder)
1259990004,Dementia due to classical pantothenate kinase associated neurodegeneration (disorder)
1260352009,Frontotemporal dementia due to TARDBP mutation (disorder)
1263555006,Logopenic non-amnestic Alzheimer disease (disorder)
12741002,AIDS with dementia (disorder)
13092008,Pick's disease (disorder)
134422007,Alzheimer's disease with early onset (disorder)
138736007,H/O: dementia (situation)
14070001,Multi-infarct dementia with depression (disorder)
142001000119106,Depressed mood in Alzheimer's disease (disorder)
142011000119109,Alzheimer's disease co-occurrent with delirium (disorder)
154845000,Dementia (& [presenile] or [senile]) (disorder)
154850006,Vascular dementia (disorder)
155061007,Creutzfeldt-Jakob disease (disorder)
15662003,Senile dementia (disorder)
1581000119101,Dementia of the Alzheimer type with behavioral disturbance (disorder)
16219201000119101,Behavioral disturbance co-occurrent and due to late onset Alzheimer dementia (disorder)
16276361000119109,Vascular dementia without behavioral disturbance (disorder)
191450005,Presenile dementia (disorder)
191454001,Presenile dementia with paranoia (disorder)
191455000,Presenile dementia with depression (disorder)
191456004,Presenile dementia NOS (disorder)
191458003,Senile dementia with paranoia (disorder)
191460001,Senile dementia with depressive or paranoid features NOS (disorder)
191461002,Senile dementia with delirium (disorder)
191462009,Arteriosclerotic dementia (including [multi infarct dementia]) (disorder)
191463004,Uncomplicated arteriosclerotic dementia (disorder)
191464005,Arteriosclerotic dementia with delirium (disorder)
191465006,Arteriosclerotic dementia with paranoia (disorder)
191474008,Alcoholic dementia: [other] or [NOS] (disorder)
191493005,Dementia caused by drug (disorder)
191519005,Dementia associated with another disease (disorder)
192161009,Dementia in Alzheimer's disease with early onset (disorder)
192163007,"[X]Dementia in Alzheimer's dis, atypical or mixed type (disorder)"
192166004,Vascular dementia of acute onset (disorder)
192167008,[X]Dementia: [multi-infarct] or [predominantly cortical] (disorder)
192168003,Subcortical vascular dementia (disorder)
192170007,[X]Other vascular dementia (disorder)
192174003,[X]Dementia in Pick's disease (disorder)
192180006,[X] Dementia: [unspecif] or [presenile NOS (including presenile psychosis NOS)] or [primary degenerative NOS] or [senile NOS (including senile psychosis NOS)] or [senile depressed or paranoid type] (disorder)
192818008,Cerebral degeneration due to Creutzfeldt-Jakob disease (disorder)
20484008,Prion disease (disorder)
214031000000108,[X]Lewy body dementia
21921000119103,Dementia co-occurrent and due to Pick's disease (disorder)
22381000119105,Primary degenerative dementia (disorder)
