code,description
429458009,Dementia due to Creutzfeldt-Jakob disease (disorder)
792004,Jakob-Creutzfeldt disease (disorder)
713060000,Sporadic Creutzfeldt-Jakob disease (disorder)
1259478009,Dementia due to familial Creutzfeldt-Jakob disease (disorder)
1259503001,Dementia due to iatrogenic Creutzfeldt-Jakob disease (disorder)
1259529001,Dementia due to sporadic Creutzfeldt-Jakob disease (disorder)
155061007,Creutzfeldt-Jakob disease (disorder)
192818008,Cerebral degeneration due to Creutzfeldt-Jakob disease (disorder)
304603007,Variant Creutzfeldt-Jakob disease (disorder)
414351000000102,[X]Dementia in Creutzfeldt-Jakob disease (disorder)
715807002,Familial Creutzfeldt-Jakob (disorder)
840452004,Classical sporadic Creutzfeldt-Jakob disease (disorder)
860826006,Creutzfeldt-Jakob Disease caused by human growth hormone (disorder)
922061000000103,Sporadic Creutzfeldt-Jakob disease (disorder)
1259522005,Dementia due to variant Creutzfeldt-Jakob disease (disorder)
192175002,[X]Dementia in Creutzfeldt-Jakob disease (disorder)
715662009,Iatrogenic Jakob-Creutzfeldt disease (disorder)
922071000000105,Sporadic Creutzfeldt Jakob disease
