code,description
42769004,Diffuse Lewy body disease with spongiform cortical change
80098002,Diffuse Lewy body disease
192177005,[X]Dementia in Parkinson's disease
192808003,Lewy body disease
230275004,Lewy body disease
230276003,Lewy body disease
230277007,Lewy body disease
312991009,Senile dementia of the Lewy body type
425390006,Dementia associated with Parkinson's Disease
101421000119107,Dementia due to Parkinson's disease
135811000119107,Lewy body dementia with behavioral disturbance
198681000000106,[X]Lewy body dementia
214031000000108,[X]Lewy body dementia
479161000000109,[X]Dementia in Parkinson's disease
